epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,499.486,1.59341,1.83091,1.81746,0.36541,0.45066,0.37733,0.14766,1.02882,10.373,1.25633,0.000709809,0.000709809,0.000709809
60,508.006,1.58555,1.84623,1.83106,0.36209,0.40283,0.36064,0.15111,0.99022,8.26051,1.19503,0.000693305,0.000693305,0.000693305
61,516.584,1.60784,1.83663,1.82376,0.34076,0.33237,0.28342,0.11156,1.06355,8.73485,1.27768,0.000676802,0.000676802,0.000676802
62,524.955,1.57881,1.82677,1.82366,0.50163,0.39888,0.40935,0.16521,1.02014,2.62686,1.21585,0.000660299,0.000660299,0.000660299
63,533.355,1.59727,1.8151,1.82267,0.66856,0.33065,0.40718,0.15551,1.02348,3.94838,1.22485,0.000643795,0.000643795,0.000643795
64,541.87,1.60499,1.83329,1.83946,0.51392,0.40276,0.40077,0.15162,1.04132,3.55092,1.23996,0.000627292,0.000627292,0.000627292
65,550.289,1.551,1.79554,1.79985,0.44066,0.4557,0.42418,0.16949,1.06881,3.68691,1.25563,0.000610789,0.000610789,0.000610789
66,558.635,1.58078,1.80844,1.81041,0.54799,0.3701,0.37966,0.14686,1.07133,5.28342,1.25639,0.000594286,0.000594286,0.000594286
67,566.994,1.59621,1.78478,1.82534,0.51752,0.39542,0.40141,0.15169,1.09368,5.03371,1.27585,0.000577782,0.000577782,0.000577782
68,575.361,1.58222,1.77505,1.81272,0.34038,0.42915,0.37276,0.15146,1.06854,7.44563,1.27521,0.000561279,0.000561279,0.000561279
69,583.96,1.59737,1.75625,1.82311,0.62678,0.34677,0.42329,0.18738,0.99701,7.60067,1.2256,0.000544776,0.000544776,0.000544776
70,592.549,1.59096,1.72238,1.81385,0.55701,0.43808,0.40882,0.19007,1.01367,5.68779,1.22789,0.000528272,0.000528272,0.000528272
71,601.225,1.58105,1.73323,1.7945,0.37398,0.37996,0.33489,0.15321,1.00517,4.55967,1.22469,0.000511769,0.000511769,0.000511769
72,609.591,1.56109,1.76029,1.80383,0.40361,0.41475,0.37533,0.15615,1.04417,5.45166,1.23809,0.000495266,0.000495266,0.000495266
73,618.21,1.54955,1.75806,1.77949,0.51862,0.43635,0.40845,0.16866,1.02523,5.43372,1.22364,0.000478762,0.000478762,0.000478762
74,626.584,1.54031,1.68828,1.79045,0.43038,0.45593,0.40103,0.16389,1.04913,6.15479,1.24099,0.000462259,0.000462259,0.000462259
75,634.962,1.57728,1.73032,1.80478,0.55904,0.45421,0.44948,0.19278,1.04776,4.58747,1.23222,0.000445756,0.000445756,0.000445756
76,643.49,1.55092,1.70152,1.78344,0.39603,0.43808,0.41038,0.1719,1.06373,5.80204,1.24726,0.000429253,0.000429253,0.000429253
77,651.841,1.55229,1.69628,1.78312,0.44964,0.43835,0.39469,0.17645,1.04583,4.90233,1.22567,0.000412749,0.000412749,0.000412749
78,660.381,1.54228,1.71306,1.77376,0.47889,0.447,0.40667,0.1768,1.02884,4.87811,1.20513,0.000396246,0.000396246,0.000396246
79,668.753,1.50912,1.68805,1.76653,0.45781,0.40087,0.37197,0.15524,1.00611,4.64147,1.19672,0.000379743,0.000379743,0.000379743
80,677.279,1.50404,1.64649,1.75761,0.37897,0.42122,0.3491,0.14142,1.04674,5.28607,1.22037,0.000363239,0.000363239,0.000363239
81,685.638,1.49601,1.6283,1.75667,0.43128,0.42622,0.4122,0.15839,1.03936,4.07297,1.22755,0.000346736,0.000346736,0.000346736
82,694.068,1.50801,1.63421,1.74855,0.4183,0.50605,0.4071,0.15594,1.04,5.02386,1.22885,0.000330233,0.000330233,0.000330233
83,702.411,1.45793,1.58299,1.7137,0.44332,0.52938,0.4159,0.17118,1.01199,4.76944,1.23104,0.000313729,0.000313729,0.000313729
84,710.734,1.52876,1.61776,1.76019,0.39358,0.44528,0.37064,0.15696,1.02089,5.21508,1.23388,0.000297226,0.000297226,0.000297226
85,719.068,1.45493,1.5559,1.71818,0.50996,0.49539,0.47942,0.20311,1.02427,5.57549,1.24257,0.000280723,0.000280723,0.000280723
86,727.768,1.5107,1.56329,1.73813,0.50002,0.48646,0.44,0.18787,1.0193,4.42418,1.21915,0.00026422,0.00026422,0.00026422
87,736.393,1.514,1.60905,1.74696,0.47421,0.48474,0.39745,0.16167,1.04143,4.82408,1.23612,0.000247716,0.000247716,0.000247716
88,744.807,1.4845,1.57237,1.72628,0.47784,0.48474,0.42546,0.17986,1.02946,4.32205,1.21972,0.000231213,0.000231213,0.000231213
89,753.307,1.49707,1.61177,1.7389,0.48759,0.41766,0.41003,0.17186,1.02949,4.80979,1.23171,0.00021471,0.00021471,0.00021471
